[2024-09-09T08:24:47.158462] Accepting connections; addr='AF_UNIX(/var/run/synosyslog)'
[2024-09-09T08:24:47.162213] Configuration reload request received, reloading configuration;
[2024-09-09T08:24:47.162247] Configuration reload finished;
2024-09-09T08:24:47+08:00 Synology_NAS syslog-ng-ctl[27701]: Config reload successful
[2024-09-09T08:24:47.167377] syslog-ng shutting down; version='3.36.1'
[2024-09-10T07:07:23.167396] WARNING: Support for the global log-iw-size() option was removed, please use a per-source log-iw-size(); location='/etc/syslog-ng/syslog-ng.conf:10:21'
[2024-09-10T07:07:23.210681] Accepting connections; addr='AF_UNIX(/var/run/syslog)'
[2024-09-10T07:07:23.218199] Accepting connections; addr='AF_UNIX(/var/run/synosyslog)'
[2024-09-10T07:07:23.220137] syslog-ng starting up; version='3.36.1'
[2024-09-10T07:08:50.951670] WARNING: Support for the global log-iw-size() option was removed, please use a per-source log-iw-size(); location='/etc/syslog-ng/syslog-ng.conf:10:21'
[2024-09-10T07:08:51.280749] Accepting connections; addr='AF_UNIX(/var/run/syslog)'
[2024-09-10T07:08:51.280828] Accepting connections; addr='AF_UNIX(/var/run/synosyslog)'
[2024-09-10T07:08:51.283476] Configuration reload request received, reloading configuration;
[2024-09-10T07:08:51.283502] Configuration reload finished;
[2024-09-10T07:08:51.848154] WARNING: Support for the global log-iw-size() option was removed, please use a per-source log-iw-size(); location='/etc/syslog-ng/syslog-ng.conf:10:21'
[2024-09-10T07:08:51.879781] Accepting connections; addr='AF_UNIX(/var/run/syslog)'
[2024-09-10T07:08:51.879857] Accepting connections; addr='AF_UNIX(/var/run/synosyslog)'
[2024-09-10T07:08:51.882497] Configuration reload request received, reloading configuration;
[2024-09-10T07:08:51.882518] Configuration reload finished;
[2024-09-10T07:08:52.590596] WARNING: Support for the global log-iw-size() option was removed, please use a per-source log-iw-size(); location='/etc/syslog-ng/syslog-ng.conf:10:21'
[2024-09-10T07:08:52.620802] Accepting connections; addr='AF_UNIX(/var/run/syslog)'
[2024-09-10T07:08:52.620884] Accepting connections; addr='AF_UNIX(/var/run/synosyslog)'
[2024-09-10T07:08:52.624817] Configuration reload request received, reloading configuration;
[2024-09-10T07:08:52.624840] Configuration reload finished;
[2024-09-10T07:08:52.627648] WARNING: Support for the global log-iw-size() option was removed, please use a per-source log-iw-size(); location='/etc/syslog-ng/syslog-ng.conf:10:21'
[2024-09-10T07:08:52.669905] Accepting connections; addr='AF_UNIX(/var/run/syslog)'
[2024-09-10T07:08:52.669990] Accepting connections; addr='AF_UNIX(/var/run/synosyslog)'
[2024-09-10T07:08:52.673581] Configuration reload request received, reloading configuration;
[2024-09-10T07:08:52.673606] Configuration reload finished;
[2024-09-10T07:08:53.517767] WARNING: Support for the global log-iw-size() option was removed, please use a per-source log-iw-size(); location='/etc/syslog-ng/syslog-ng.conf:10:21'
[2024-09-10T07:08:53.550686] Accepting connections; addr='AF_UNIX(/var/run/syslog)'
[2024-09-10T07:08:53.550760] Accepting connections; addr='AF_UNIX(/var/run/synosyslog)'
[2024-09-10T07:08:53.553646] Configuration reload request received, reloading configuration;
[2024-09-10T07:08:53.553668] Configuration reload finished;
[2024-09-10T07:08:54.290788] WARNING: Support for the global log-iw-size() option was removed, please use a per-source log-iw-size(); location='/etc/syslog-ng/syslog-ng.conf:10:21'
[2024-09-10T07:08:54.508079] Accepting connections; addr='AF_UNIX(/var/run/syslog)'
[2024-09-10T07:08:54.508157] Accepting connections; addr='AF_UNIX(/var/run/synosyslog)'
[2024-09-10T07:08:54.508302] Connection failed; fd='21', server='AF_UNIX(/var/run/synologan.sock)', local='AF_UNIX(anonymous)', error='No such file or directory (2)'
[2024-09-10T07:08:54.508312] Initiating connection failed, reconnecting; time_reopen='10'
[2024-09-10T07:08:54.512124] Configuration reload request received, reloading configuration;
[2024-09-10T07:08:54.512147] Configuration reload finished;
[2024-09-10T07:08:22.742692] WARNING: Support for the global log-iw-size() option was removed, please use a per-source log-iw-size(); location='/etc/syslog-ng/syslog-ng.conf:10:21'
[2024-09-10T07:08:22.802067] Accepting connections; addr='AF_UNIX(/var/run/syslog)'
[2024-09-10T07:08:22.802142] Accepting connections; addr='AF_UNIX(/var/run/synosyslog)'
[2024-09-10T07:08:22.802241] Syslog connection established; fd='20', server='AF_UNIX(/var/run/synologan.sock)', local='AF_UNIX(anonymous)'
[2024-09-10T07:08:22.806867] Configuration reload request received, reloading configuration;
[2024-09-10T07:08:22.806895] Configuration reload finished;
[2024-09-10T07:08:22.920904] WARNING: Support for the global log-iw-size() option was removed, please use a per-source log-iw-size(); location='/etc/syslog-ng/syslog-ng.conf:10:21'
[2024-09-10T07:08:22.952919] Accepting connections; addr='AF_UNIX(/var/run/syslog)'
[2024-09-10T07:08:22.952991] Accepting connections; addr='AF_UNIX(/var/run/synosyslog)'
[2024-09-10T07:08:22.957506] Configuration reload request received, reloading configuration;
[2024-09-10T07:08:22.957533] Configuration reload finished;
[2024-09-10T07:08:26.556553] WARNING: Support for the global log-iw-size() option was removed, please use a per-source log-iw-size(); location='/etc/syslog-ng/syslog-ng.conf:10:21'
[2024-09-10T07:08:26.589135] Accepting connections; addr='AF_UNIX(/var/run/syslog)'
[2024-09-10T07:08:26.589221] Accepting connections; addr='AF_UNIX(/var/run/synosyslog)'
[2024-09-10T07:08:26.594543] Configuration reload request received, reloading configuration;
[2024-09-10T07:08:26.594571] Configuration reload finished;
[2024-09-10T07:08:26.669542] WARNING: Support for the global log-iw-size() option was removed, please use a per-source log-iw-size(); location='/etc/syslog-ng/syslog-ng.conf:10:21'
[2024-09-10T07:08:26.706008] Accepting connections; addr='AF_UNIX(/var/run/syslog)'
[2024-09-10T07:08:26.706074] Accepting connections; addr='AF_UNIX(/var/run/synosyslog)'
[2024-09-10T07:08:26.711004] Configuration reload request received, reloading configuration;
[2024-09-10T07:08:26.711028] Configuration reload finished;
[2024-09-10T07:08:27.647967] WARNING: Support for the global log-iw-size() option was removed, please use a per-source log-iw-size(); location='/etc/syslog-ng/syslog-ng.conf:10:21'
[2024-09-10T07:08:27.678189] Accepting connections; addr='AF_UNIX(/var/run/syslog)'
[2024-09-10T07:08:27.678276] Accepting connections; addr='AF_UNIX(/var/run/synosyslog)'
[2024-09-10T07:08:27.686596] Configuration reload request received, reloading configuration;
[2024-09-10T07:08:27.686619] Configuration reload finished;
[2024-09-10T07:08:27.742895] WARNING: Support for the global log-iw-size() option was removed, please use a per-source log-iw-size(); location='/etc/syslog-ng/syslog-ng.conf:10:21'
[2024-09-10T07:08:27.772899] Accepting connections; addr='AF_UNIX(/var/run/syslog)'
[2024-09-10T07:08:27.772969] Accepting connections; addr='AF_UNIX(/var/run/synosyslog)'
[2024-09-10T07:08:27.777963] Configuration reload request received, reloading configuration;
[2024-09-10T07:08:27.777985] Configuration reload finished;
[2024-09-11T01:19:17.130978] WARNING: Support for the global log-iw-size() option was removed, please use a per-source log-iw-size(); location='/etc/syslog-ng/syslog-ng.conf:10:21'
[2024-09-11T01:19:17.163195] Accepting connections; addr='AF_UNIX(/var/run/syslog)'
[2024-09-11T01:19:17.163284] Accepting connections; addr='AF_UNIX(/var/run/synosyslog)'
[2024-09-11T01:19:17.167891] Configuration reload request received, reloading configuration;
[2024-09-11T01:19:17.167922] Configuration reload finished;
[2024-09-11T19:57:37.197022] EOF occurred while idle; fd='20'
[2024-09-11T19:57:37.197068] Syslog connection closed; fd='0', server='AF_UNIX(/var/run/synologan.sock)', time_reopen='10'
[2024-09-11T19:57:38.821855] WARNING: Support for the global log-iw-size() option was removed, please use a per-source log-iw-size(); location='/etc/syslog-ng/syslog-ng.conf:10:21'
[2024-09-11T19:57:38.848706] Accepting connections; addr='AF_UNIX(/var/run/syslog)'
[2024-09-11T19:57:38.848781] Accepting connections; addr='AF_UNIX(/var/run/synosyslog)'
[2024-09-11T19:57:38.853145] Configuration reload request received, reloading configuration;
[2024-09-11T19:57:38.853178] Configuration reload finished;
[2024-09-11T19:57:38.999228] WARNING: Support for the global log-iw-size() option was removed, please use a per-source log-iw-size(); location='/etc/syslog-ng/syslog-ng.conf:10:21'
[2024-09-11T19:57:39.028739] Accepting connections; addr='AF_UNIX(/var/run/syslog)'
[2024-09-11T19:57:39.028813] Accepting connections; addr='AF_UNIX(/var/run/synosyslog)'
[2024-09-11T19:57:39.032322] Configuration reload request received, reloading configuration;
[2024-09-11T19:57:39.032346] Configuration reload finished;
[2024-09-11T19:57:39.196388] WARNING: Support for the global log-iw-size() option was removed, please use a per-source log-iw-size(); location='/etc/syslog-ng/syslog-ng.conf:10:21'
[2024-09-11T19:57:39.221587] Accepting connections; addr='AF_UNIX(/var/run/syslog)'
[2024-09-11T19:57:39.221655] Accepting connections; addr='AF_UNIX(/var/run/synosyslog)'
[2024-09-11T19:57:39.225039] Configuration reload request received, reloading configuration;
[2024-09-11T19:57:39.225065] Configuration reload finished;
2024-09-11T19:57:39+08:00 Synology_NAS syslog-ng-ctl[1987]: Config reload successful
[2024-09-11T19:57:39.230282] syslog-ng shutting down; version='3.36.1'
